SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE,
NSTD,KK13,L02ER-16_07LE,25/02/20,05:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,05:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,05:00:02,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,06:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,06:00:00,123456,OPERATOR,,,,FAIL,92,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,06:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,06:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,79:05:52,,,,PRODUCTION TIME LOT:79:05:52,
NSTD,KK13,L02ER-16_07LE,25/02/20,06:00:00,123456,OPERATOR,,,,DOWN TIME LOT,55:06:56,,,,DOWN TIME LOT:55:06:56,
NSTD,KK13,L02ER-16_07LE,25/02/20,06:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,06:00:01,123456,OPERATOR,,,,PRODUCTION TIME,15:00:01,,,,PRODUCTION TIME:15:00:01,
NSTD,KK13,L02ER-16_07LE,25/02/20,06:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,06:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,06:00:01,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,07:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,07:00:00,123456,OPERATOR,,,,FAIL,92,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,07:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,07:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,81:17:52,,,,PRODUCTION TIME LOT:81:17:52,
NSTD,KK13,L02ER-16_07LE,25/02/20,07:00:00,123456,OPERATOR,,,,DOWN TIME LOT,55:06:56,,,,DOWN TIME LOT:55:06:56,
NSTD,KK13,L02ER-16_07LE,25/02/20,07:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,07:00:01,123456,OPERATOR,,,,PRODUCTION TIME,17:12:01,,,,PRODUCTION TIME:17:12:01,
NSTD,KK13,L02ER-16_07LE,25/02/20,07:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,07:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,07:00:01,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,08:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,08:00:00,123456,OPERATOR,,,,FAIL,92,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,08:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,08:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,84:05:52,,,,PRODUCTION TIME LOT:84:05:52,
NSTD,KK13,L02ER-16_07LE,25/02/20,08:00:00,123456,OPERATOR,,,,DOWN TIME LOT,55:06:56,,,,DOWN TIME LOT:55:06:56,
NSTD,KK13,L02ER-16_07LE,25/02/20,08:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
