SiteID,ProjectCode,TesterID,Lot Name,Login Mode,Date,Time,Input,Pass,Fail,Error#,Socket Usage,Socket Usage#
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,00:51:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,00:52:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,00:53:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,00:54:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,00:55:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,00:56:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,00:57:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,00:58:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,00:59:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:00:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:01:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:02:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:03:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:04:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:05:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:06:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:07:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:08:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:09:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:10:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:11:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:12:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:13:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:14:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:15:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:16:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:17:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:18:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:19:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:20:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:21:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:22:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:23:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:24:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:25:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:26:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:27:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:28:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:29:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:30:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:31:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:32:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:33:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:34:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:35:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:36:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:37:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:38:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:39:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:40:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:41:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:42:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:43:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:44:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:45:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:46:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:47:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:48:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:49:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:50:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:51:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:52:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:53:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:54:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:55:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:56:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:57:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:58:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,01:59:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:00:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:01:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:02:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:03:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:04:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:05:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:06:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:07:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:08:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:09:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:10:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:11:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:12:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,02:13:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,14:14:00,0,0,0,2,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,14:15:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,14:16:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,14:17:00,10,10,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,14:18:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,14:19:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,14:20:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,14:21:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,14:22:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,14:23:00,0,0,0,0,00,0
NSTD,KK13,L02-ER-68-2,MTAXMC18500512,OPERATOR,25/02/2020,14:24:00,0,0,0,0,00,0
